project_code,sector,contractor,cost_original,cost_revised,duration_months,elapsed_months,planned_progress,actual_progress,payment_delay_days,subcontracting_depth,land_clearance_status,design_scope_change_count,billing_progress_mismatch_pct,is_cost_overrun,is_time_overrun,risk_score
BR-1208,Bridges,Desert Sun Powergrid JV,277.6,303.1,24,15,63.3,58.5,17.0,0,Clear,3,3.7,1,0,47
NH-1209,Roads,Patel Engineering,627.8,695.9,36,15,44.2,32.3,47.6,0,Pending,1,8.7,1,0,73
NH-1210,Roads,Shivalik Infraprojects Ltd.,539.3,539.3,30,7,23.9,22.5,33.0,0,Clear,0,3.3,0,0,18
RW-1211,Railways,Eastern Rail Infra Pvt. Ltd.,215.2,220.2,60,46,75.1,75.1,30.7,0,Clear,0,2.6,0,0,24
BR-1212,Bridges,NCC Infrastructure,823.4,897.8,48,43,86.5,68.6,128.6,1,Clear,0,11.9,1,1,89
RW-1213,Railways,Bharat Rail Consortium,1311.2,1421.9,42,14,32.1,12.9,104.4,2,Clear,0,14.9,1,1,87
NH-1214,Roads,Afcons Infrastructure,1201.3,1373.7,24,9,43.8,30.0,108.0,1,Clear,4,2.5,1,1,87
NH-1215,Roads,Desert Sun Powergrid JV,547.6,629.9,24,10,41.8,23.9,143.2,0,Clear,4,3.5,1,1,84
NH-1216,Roads,Patel Engineering,394.3,443.6,24,6,26.7,0.0,127.3,1,Disputed,0,8.3,1,1,95
NH-1217,Roads,Eastern Rail Infra Pvt. Ltd.,675.0,721.5,48,30,60.5,42.5,131.4,0,Pending,0,3.4,0,1,76
RW-1218,Railways,Vindhya Powergrid Ltd.,760.3,881.1,30,22,70.6,40.4,142.8,2,Pending,2,7.0,1,1,95
NH-1219,Roads,Apex Bullet Infra Ltd.,655.6,765.9,36,12,31.2,7.0,127.3,1,Pending,3,7.0,1,1,95
BR-1220,Bridges,Apex Bullet Infra Ltd.,301.3,321.0,18,13,67.8,62.2,15.7,1,Clear,1,9.9,0,0,53
NH-1221,Roads,Vindhya Powergrid Ltd.,418.6,443.1,30,26,88.6,79.6,14.6,0,Pending,2,-1.2,0,1,47
BR-1222,Bridges,Tata Projects Ltd.,711.4,768.5,24,16,66.0,53.1,104.0,1,Clear,1,6.2,1,1,72
NH-1223,Roads,Afcons Infrastructure,990.3,1123.6,18,7,37.3,18.3,32.5,2,Clear,2,18.5,1,1,89
NH-1224,Roads,Vindhya Powergrid Ltd.,827.9,894.3,30,9,27.5,8.7,103.5,0,Pending,2,3.0,1,1,83
RW-1225,Railways,Tata Projects Ltd.,422.1,427.8,36,6,9.3,0.0,69.9,0,Pending,1,-5.1,0,0,46
PW-1226,Power,Dilip Buildcon Ltd.,650.7,728.7,18,17,93.0,78.3,86.5,1,Clear,2,11.1,1,1,83
RW-1227,Railways,Larsen & Toubro Infra,320.3,337.3,18,15,84.1,69.9,22.4,2,Pending,0,0.1,0,1,59
RW-1228,Railways,Patel Engineering,1126.2,1228.8,24,4,21.9,0.8,147.3,0,Clear,3,1.4,1,1,89
NH-1229,Roads,Bharat Rail Consortium,435.5,461.2,30,18,57.9,49.8,11.5,1,Pending,2,5.2,0,0,53
NH-1230,Roads,Larsen & Toubro Infra,948.8,966.2,18,9,49.4,46.9,31.8,0,Clear,2,2.0,0,0,27
NH-1231,Roads,Patel Engineering,369.0,369.0,24,21,88.7,88.2,28.3,0,Clear,0,3.7,0,0,24
RW-1232,Railways,Himalayan Infra Engineering,393.6,430.9,48,19,41.1,29.8,20.3,0,Pending,3,6.4,1,0,63
RW-1233,Railways,Ganga Construction Co.,802.4,907.8,24,10,34.3,14.1,98.2,1,Disputed,2,-2.6,1,1,92
BR-1234,Bridges,Patel Engineering,702.1,761.7,24,6,21.8,8.9,100.0,0,Pending,1,4.5,1,1,72
RW-1235,Railways,Shivalik Infraprojects Ltd.,586.8,658.8,36,23,65.9,51.1,105.4,1,Clear,2,8.3,1,1,80
RW-1236,Railways,Bharat Rail Consortium,1000.3,1071.0,24,17,67.3,57.4,34.9,0,Pending,1,7.4,0,0,61
RW-1237,Railways,Afcons Infrastructure,400.4,420.7,36,33,92.8,81.3,32.3,1,Pending,1,-2.5,0,1,53
NH-1238,Roads,Shivalik Infraprojects Ltd.,347.0,358.1,36,22,64.1,54.7,28.9,0,Disputed,0,1.3,0,0,50
PW-1239,Power,Eastern Rail Infra Pvt. Ltd.,293.2,310.4,18,15,83.6,69.4,113.2,0,Clear,2,0.3,0,1,61
NH-1240,Roads,Eastern Rail Infra Pvt. Ltd.,1262.1,1262.1,36,34,94.8,92.3,19.7,1,Clear,0,1.4,0,0,24
BR-1241,Bridges,Larsen & Toubro Infra,1443.2,1655.8,30,8,22.8,6.4,58.5,1,Pending,2,7.4,1,1,86
RW-1242,Railways,Apex Bullet Infra Ltd.,1161.5,1191.8,30,24,80.9,76.6,15.7,1,Pending,0,0.2,0,0,38
RW-1243,Railways,Afcons Infrastructure,1187.9,1246.4,36,29,87.4,81.7,22.5,1,Clear,0,8.8,0,0,48
RW-1244,Railways,Vindhya Powergrid Ltd.,524.1,630.9,36,26,77.1,46.7,147.4,2,Clear,5,10.8,1,1,95
NH-1245,Roads,Omkar Roadways Ltd.,569.3,575.8,60,27,44.2,43.0,18.5,1,Clear,2,-0.2,0,0,23
RW-1246,Railways,Dilip Buildcon Ltd.,567.6,592.3,48,32,67.4,57.7,60.9,1,Pending,1,-2.6,0,0,50
NH-1247,Roads,Larsen & Toubro Infra,1348.5,1422.7,18,8,46.8,39.5,12.9,0,Clear,1,6.0,0,0,43
PW-1248,Power,Afcons Infrastructure,651.9,720.8,18,16,86.7,65.6,106.6,2,Clear,1,12.9,1,1,95
PW-1249,Power,Larsen & Toubro Infra,459.5,494.9,42,22,47.7,30.9,34.9,0,Disputed,0,4.4,0,1,72
NH-1250,Roads,Apex Bullet Infra Ltd.,530.0,552.6,36,16,44.3,37.8,25.0,2,Clear,0,5.3,0,0,45
BR-1251,Bridges,Larsen & Toubro Infra,508.3,521.7,48,25,52.3,40.9,10.4,0,Disputed,0,0.9,0,0,52
RW-1252,Railways,Ganga Construction Co.,1296.5,1303.9,24,16,70.0,70.0,21.0,0,Clear,0,-0.4,0,0,11
BR-1253,Bridges,Vindhya Powergrid Ltd.,493.6,523.1,18,3,15.2,5.7,23.0,2,Clear,0,10.7,0,0,60
BR-1254,Bridges,Bharat Rail Consortium,586.4,665.3,24,6,24.2,10.2,16.1,1,Disputed,2,9.4,1,1,91
BR-1255,Bridges,NCC Infrastructure,1502.3,1568.7,18,17,91.1,76.3,34.2,1,Disputed,0,-0.8,0,1,62
NH-1256,Roads,Bharat Rail Consortium,378.2,412.1,18,7,45.4,32.3,29.6,2,Clear,3,5.8,1,1,63
PW-1257,Power,Eastern Rail Infra Pvt. Ltd.,547.4,646.7,30,17,59.2,36.4,14.5,2,Disputed,2,16.9,1,1,95
NH-1258,Roads,Desert Sun Powergrid JV,463.3,490.2,24,22,95.0,68.8,140.2,2,Clear,0,7.1,0,1,91
BR-1259,Bridges,Eastern Rail Infra Pvt. Ltd.,992.8,1003.7,30,10,29.3,21.5,30.7,0,Pending,0,-2.7,0,0,39
NH-1260,Roads,Vindhya Powergrid Ltd.,640.1,669.1,24,12,55.9,55.0,22.8,0,Clear,1,6.5,0,0,32
PW-1261,Power,Eastern Rail Infra Pvt. Ltd.,530.8,567.6,36,16,44.3,41.1,16.3,1,Clear,1,6.0,0,0,39
RW-1262,Railways,Omkar Roadways Ltd.,829.0,887.1,24,9,37.1,31.8,16.2,0,Pending,1,10.6,0,0,49
NH-1263,Roads,Desert Sun Powergrid JV,347.5,374.1,30,12,42.9,31.5,18.3,1,Pending,2,5.8,0,0,64
NH-1264,Roads,Afcons Infrastructure,635.9,676.0,24,20,85.1,82.3,26.9,0,Pending,2,-1.6,0,0,38
NH-1265,Roads,Afcons Infrastructure,589.0,589.0,24,22,89.5,88.8,25.8,1,Clear,0,2.1,0,0,27
NH-1266,Roads,Patel Engineering,933.2,976.9,30,23,73.2,49.4,133.8,0,Disputed,0,-0.2,0,1,83
NH-1267,Roads,Desert Sun Powergrid JV,612.4,678.7,48,41,92.2,75.6,73.7,2,Clear,3,6.2,1,1,84
NH-1268,Roads,Patel Engineering,1099.5,1298.4,24,22,89.3,68.3,26.6,1,Disputed,4,8.7,1,1,95
RW-1269,Railways,Vindhya Powergrid Ltd.,1229.0,1422.4,30,25,88.2,73.4,67.9,0,Clear,3,6.9,1,1,75
NH-1270,Roads,Larsen & Toubro Infra,1233.9,1413.6,36,8,23.0,3.8,115.5,1,Clear,3,2.4,1,1,90
NH-1271,Roads,Dilip Buildcon Ltd.,1063.8,1245.3,36,24,64.2,41.5,58.9,2,Pending,5,7.6,1,1,95
NH-1272,Roads,Eastern Rail Infra Pvt. Ltd.,724.9,793.5,24,22,95.0,84.8,11.8,1,Pending,1,11.3,1,1,66
RW-1273,Railways,Larsen & Toubro Infra,595.7,649.6,48,33,65.8,55.5,77.7,2,Clear,0,13.0,1,0,73
NH-1274,Roads,Himalayan Infra Engineering,520.4,542.7,18,13,74.5,64.0,90.2,0,Pending,0,8.4,0,0,63
NH-1275,Roads,Dilip Buildcon Ltd.,641.3,719.3,24,16,63.8,50.1,21.3,1,Pending,3,6.4,1,1,75
BR-1276,Bridges,Shivalik Infraprojects Ltd.,716.7,760.8,42,15,35.8,27.5,34.8,2,Clear,2,1.6,0,0,53
RW-1277,Railways,Dilip Buildcon Ltd.,757.8,850.2,30,6,16.6,0.0,19.1,1,Disputed,3,6.2,1,1,90
RW-1278,Railways,Bharat Rail Consortium,447.0,480.0,42,10,21.3,2.1,58.0,0,Disputed,0,2.8,0,1,76
NH-1279,Roads,Apex Bullet Infra Ltd.,364.9,409.4,42,23,54.9,37.9,30.1,2,Pending,1,6.5,1,1,82
NH-1280,Roads,Larsen & Toubro Infra,1319.9,1370.1,36,10,27.5,22.6,12.2,1,Clear,0,4.4,0,0,37
NH-1281,Roads,Eastern Rail Infra Pvt. Ltd.,730.3,816.2,30,16,57.1,35.1,111.0,1,Pending,1,8.2,1,1,95
RW-1282,Railways,Apex Bullet Infra Ltd.,1120.4,1195.5,24,15,58.4,52.8,85.1,0,Clear,0,6.4,0,0,52
NH-1283,Roads,Himalayan Infra Engineering,480.1,485.6,30,14,47.1,44.5,20.3,0,Clear,0,7.0,0,0,33
NH-1284,Roads,Omkar Roadways Ltd.,564.9,678.1,18,10,52.9,39.6,17.7,2,Clear,5,11.0,1,1,89
BR-1285,Bridges,Apex Bullet Infra Ltd.,846.6,887.6,36,11,32.9,23.4,57.1,0,Pending,1,-0.8,0,0,44
NH-1286,Roads,Eastern Rail Infra Pvt. Ltd.,822.2,890.6,30,28,92.5,73.6,22.2,1,Disputed,1,8.1,1,1,80
RW-1287,Railways,Afcons Infrastructure,335.9,372.6,18,13,77.7,74.6,10.5,0,Clear,1,12.2,1,0,51
NH-1288,Roads,Bharat Rail Consortium,535.0,583.2,30,10,29.5,6.8,120.1,2,Clear,1,8.3,1,1,95
BR-1289,Bridges,Bharat Rail Consortium,214.9,240.0,18,8,44.9,34.4,19.7,0,Pending,3,1.9,1,0,62
BR-1290,Bridges,Afcons Infrastructure,1221.2,1299.2,48,12,20.6,12.8,30.4,1,Clear,1,3.1,0,0,47
NH-1291,Roads,Afcons Infrastructure,901.5,994.5,36,11,28.2,15.3,11.0,0,Pending,3,-1.3,1,1,62
NH-1292,Roads,Omkar Roadways Ltd.,926.7,999.6,18,5,30.6,8.9,119.7,2,Pending,0,9.6,0,1,90
BR-1293,Bridges,Omkar Roadways Ltd.,643.8,675.9,30,17,64.0,57.2,30.1,0,Clear,1,-1.4,0,0,31
NH-1294,Roads,Eastern Rail Infra Pvt. Ltd.,644.9,694.8,36,29,84.5,71.0,78.2,2,Clear,0,5.3,0,1,65
NH-1295,Roads,Dilip Buildcon Ltd.,384.7,395.4,30,6,22.8,20.2,30.9,0,Clear,1,-2.4,0,0,25
RW-1296,Railways,Tata Projects Ltd.,650.9,683.8,48,20,40.2,15.3,81.8,1,Disputed,0,5.8,0,1,90
BR-1297,Bridges,Bharat Rail Consortium,517.0,589.9,42,16,44.0,26.2,33.1,0,Pending,4,6.2,1,1,80
PW-1298,Power,Himalayan Infra Engineering,808.5,911.2,36,21,56.4,41.0,118.0,0,Clear,3,0.8,1,1,79
NH-1299,Roads,Apex Bullet Infra Ltd.,995.5,1009.6,24,10,40.6,32.7,32.7,1,Pending,0,7.6,0,0,48
RW-1300,Railways,Ganga Construction Co.,716.0,764.5,30,25,83.2,64.3,33.8,0,Disputed,3,-0.6,0,1,75
RW-1301,Railways,Desert Sun Powergrid JV,664.3,730.8,42,38,90.8,73.2,83.2,2,Clear,0,12.6,1,1,88
NH-1302,Roads,Afcons Infrastructure,514.0,564.6,48,9,16.8,8.6,20.1,0,Pending,1,4.1,1,0,55
NH-1303,Roads,Patel Engineering,1379.3,1426.4,36,12,28.7,25.8,17.5,1,Clear,0,2.3,0,0,32
NH-1304,Roads,Larsen & Toubro Infra,1152.0,1233.4,24,15,60.0,50.9,33.3,0,Pending,1,-1.7,0,0,48
BR-1305,Bridges,Bharat Rail Consortium,1265.0,1328.3,30,16,54.1,45.8,34.2,1,Clear,3,1.6,0,0,50
PW-1306,Power,NCC Infrastructure,562.0,601.1,42,17,38.6,29.0,22.6,2,Pending,1,8.2,0,0,61
RW-1307,Railways,Eastern Rail Infra Pvt. Ltd.,717.0,774.0,48,25,52.7,36.6,148.3,0,Clear,2,-1.8,0,1,74
BR-1308,Bridges,Apex Bullet Infra Ltd.,697.4,765.9,36,9,26.1,0.2,104.7,1,Disputed,0,9.0,1,1,95
PW-1309,Power,Vindhya Powergrid Ltd.,1091.8,1202.8,30,12,41.3,23.0,131.5,1,Pending,3,0.3,1,1,86
NH-1310,Roads,Shivalik Infraprojects Ltd.,553.5,614.7,60,54,89.8,78.5,24.3,2,Clear,3,6.6,1,1,64
RW-1311,Railways,Larsen & Toubro Infra,864.9,931.4,24,21,84.6,80.3,11.4,0,Clear,3,1.7,0,0,39
NH-1312,Roads,Afcons Infrastructure,350.4,373.1,24,11,49.8,38.2,20.8,1,Pending,2,-3.3,0,0,56
NH-1313,Roads,Larsen & Toubro Infra,559.8,622.9,24,13,54.8,43.5,53.4,1,Pending,3,3.6,1,0,72
NH-1314,Roads,Desert Sun Powergrid JV,259.2,313.9,24,22,89.6,67.4,71.0,0,Disputed,5,-6.5,1,1,95
NH-1315,Roads,Shivalik Infraprojects Ltd.,613.1,706.2,24,18,74.0,64.0,33.7,1,Clear,2,11.9,1,1,75
RW-1316,Railways,Eastern Rail Infra Pvt. Ltd.,1177.9,1304.8,18,12,72.1,65.8,24.9,1,Clear,3,-1.7,1,0,45
BR-1317,Bridges,Shivalik Infraprojects Ltd.,805.9,899.3,42,31,71.3,61.2,22.7,0,Disputed,3,-4.5,1,0,64
NH-1318,Roads,Vindhya Powergrid Ltd.,1365.5,1424.7,42,18,43.9,35.9,77.8,0,Pending,0,-5.7,0,0,49
NH-1319,Roads,Eastern Rail Infra Pvt. Ltd.,807.6,834.5,48,40,84.0,80.9,12.6,1,Pending,1,-0.9,0,0,31
RW-1320,Railways,Ganga Construction Co.,1599.5,1617.2,18,6,36.7,36.6,17.8,0,Pending,0,0.9,0,0,26
NH-1321,Roads,Dilip Buildcon Ltd.,936.5,961.9,30,5,17.2,2.2,29.1,0,Disputed,0,2.0,0,1,57
BR-1322,Bridges,Desert Sun Powergrid JV,574.3,633.7,24,20,86.5,74.4,21.7,0,Pending,3,3.9,1,1,62
NH-1323,Roads,Eastern Rail Infra Pvt. Ltd.,881.4,927.4,48,40,74.5,69.1,20.9,1,Pending,1,-2.8,0,0,42
BR-1324,Bridges,Afcons Infrastructure,680.8,728.0,30,24,83.7,71.8,93.2,0,Clear,1,2.9,0,1,54
NH-1325,Roads,Dilip Buildcon Ltd.,1121.7,1178.1,36,14,41.1,38.4,18.6,1,Clear,0,6.9,0,0,38
RW-1326,Railways,Bharat Rail Consortium,583.3,660.9,48,17,29.9,11.3,14.8,0,Disputed,3,1.0,1,1,78
NH-1327,Roads,Bharat Rail Consortium,1029.0,1030.6,24,11,49.9,37.7,86.6,0,Pending,0,-6.0,0,1,48
RW-1328,Railways,Vindhya Powergrid Ltd.,1035.0,1183.3,30,8,28.6,4.7,26.9,2,Disputed,1,9.5,1,1,95
RW-1329,Railways,Eastern Rail Infra Pvt. Ltd.,923.9,984.9,60,23,42.1,27.8,20.8,0,Disputed,0,5.0,0,1,63
NH-1330,Roads,Apex Bullet Infra Ltd.,584.8,630.7,36,32,86.8,80.1,26.1,0,Clear,2,8.6,0,0,46
BR-1331,Bridges,Bharat Rail Consortium,670.7,670.8,48,15,34.5,23.9,66.6,1,Clear,1,0.6,0,0,48
NH-1332,Roads,Patel Engineering,664.9,754.6,24,6,22.7,9.5,65.7,0,Clear,4,-0.2,1,1,73
RW-1333,Railways,Desert Sun Powergrid JV,381.0,423.3,30,26,88.6,78.3,30.8,2,Clear,2,11.3,1,1,70
PW-1334,Power,Shivalik Infraprojects Ltd.,447.5,508.6,30,23,81.8,53.3,143.8,0,Disputed,2,1.5,1,1,95
RW-1335,Railways,Patel Engineering,390.4,470.9,36,14,35.7,9.8,12.4,2,Disputed,5,7.2,1,1,95
PW-1336,Power,Shivalik Infraprojects Ltd.,527.2,606.8,60,53,85.7,69.0,29.9,0,Disputed,5,-0.3,1,1,84
RW-1337,Railways,Omkar Roadways Ltd.,598.6,637.0,30,17,55.4,42.8,140.1,0,Clear,0,3.8,0,1,67
NH-1338,Roads,Apex Bullet Infra Ltd.,661.8,681.3,36,10,32.5,30.0,25.9,0,Clear,1,2.0,0,0,31
RW-1339,Railways,Bharat Rail Consortium,460.8,471.9,24,16,67.7,67.7,26.1,0,Clear,0,3.9,0,0,22
RW-1340,Railways,Himalayan Infra Engineering,557.8,612.6,18,11,63.2,58.8,23.0,0,Clear,2,9.5,1,0,49
BR-1341,Bridges,Desert Sun Powergrid JV,500.5,540.0,36,23,56.9,42.5,48.1,1,Clear,2,5.3,0,1,65
NH-1342,Roads,Dilip Buildcon Ltd.,650.7,688.6,36,20,58.6,45.2,21.6,0,Disputed,0,2.2,0,1,66
NH-1343,Roads,Eastern Rail Infra Pvt. Ltd.,393.1,426.9,18,9,52.0,32.3,143.0,2,Clear,0,14.0,1,1,95
NH-1344,Roads,Desert Sun Powergrid JV,404.5,426.8,42,29,71.1,53.0,138.7,0,Clear,0,6.0,0,1,73
NH-1345,Roads,Desert Sun Powergrid JV,500.2,575.5,24,9,35.7,6.3,135.1,1,Disputed,2,6.4,1,1,95
NH-1346,Roads,Larsen & Toubro Infra,925.7,1074.0,42,23,53.3,22.6,140.3,0,Disputed,3,-0.7,1,1,95
NH-1347,Roads,Himalayan Infra Engineering,812.3,850.1,60,22,33.0,25.1,34.6,1,Pending,0,5.6,0,0,50
PW-1348,Power,Shivalik Infraprojects Ltd.,502.6,547.0,36,27,76.2,68.5,13.7,1,Clear,3,0.1,1,0,50
NH-1349,Roads,Dilip Buildcon Ltd.,817.9,868.9,24,18,71.1,46.9,99.7,1,Disputed,0,4.4,0,1,89
NH-1350,Roads,Tata Projects Ltd.,362.3,392.9,24,16,70.0,58.7,27.8,2,Clear,3,3.5,1,0,60
RW-1351,Railways,Eastern Rail Infra Pvt. Ltd.,805.5,882.1,24,13,56.3,45.5,19.0,1,Pending,2,9.9,1,0,68
BR-1352,Bridges,Omkar Roadways Ltd.,688.2,731.0,24,19,72.2,67.9,18.4,0,Clear,4,-2.0,0,0,37
NH-1353,Roads,Afcons Infrastructure,1723.0,1851.2,30,28,95.0,89.1,16.5,0,Pending,2,5.0,0,0,49
RW-1354,Railways,Larsen & Toubro Infra,757.8,822.3,36,19,52.2,30.7,116.7,0,Disputed,1,-0.7,1,1,81
NH-1355,Roads,Bharat Rail Consortium,700.2,772.0,36,13,37.3,14.1,114.2,2,Clear,2,10.6,1,1,95
NH-1356,Roads,NCC Infrastructure,440.7,501.1,24,10,41.9,18.8,112.0,1,Clear,3,-4.2,1,1,90
NH-1357,Roads,Patel Engineering,647.7,647.7,36,7,17.0,11.7,61.3,0,Clear,0,3.9,0,0,34
NH-1358,Roads,Bharat Rail Consortium,708.4,774.0,30,11,34.2,20.6,46.1,2,Pending,0,6.2,1,1,69
NH-1359,Roads,Patel Engineering,719.3,788.7,42,16,41.8,22.9,143.4,1,Clear,0,11.2,1,1,92
BR-1360,Bridges,Tata Projects Ltd.,595.0,661.8,24,18,76.3,57.5,29.7,1,Disputed,2,8.6,1,1,95
NH-1361,Roads,Ganga Construction Co.,1028.1,1101.5,36,11,27.8,10.7,57.7,2,Pending,0,6.8,0,1,73
NH-1362,Roads,Shivalik Infraprojects Ltd.,790.4,816.7,30,15,53.4,46.4,15.5,1,Pending,1,0.2,0,0,44
NH-1363,Roads,Himalayan Infra Engineering,765.6,823.3,30,18,63.6,44.3,67.6,0,Disputed,0,7.1,0,1,83
RW-1364,Railways,Patel Engineering,550.1,621.2,36,18,53.0,22.0,134.2,1,Disputed,1,10.9,1,1,95
NH-1365,Roads,Vindhya Powergrid Ltd.,666.2,706.5,30,8,28.0,22.3,31.7,2,Clear,0,7.4,0,0,48
BR-1366,Bridges,Larsen & Toubro Infra,1323.5,1363.6,36,20,58.6,45.0,95.8,1,Clear,0,6.4,0,1,60
RW-1367,Railways,Afcons Infrastructure,643.6,672.0,36,16,43.4,40.8,11.3,0,Pending,1,4.6,0,0,36
NH-1368,Roads,Shivalik Infraprojects Ltd.,903.9,1038.7,36,8,26.8,0.9,131.7,2,Clear,2,14.4,1,1,95
PW-1369,Power,Tata Projects Ltd.,581.2,626.3,24,13,53.2,44.7,24.6,1,Clear,1,7.2,0,0,52
PW-1370,Power,Himalayan Infra Engineering,1513.7,1700.0,48,9,19.9,3.3,14.3,1,Pending,3,5.3,1,1,81
RW-1371,Railways,Shivalik Infraprojects Ltd.,1028.5,1145.0,24,13,58.1,42.7,21.0,2,Pending,3,9.5,1,1,80
BR-1372,Bridges,Omkar Roadways Ltd.,503.3,549.0,24,6,27.1,15.6,32.1,1,Pending,2,7.5,1,0,65
BR-1373,Bridges,Omkar Roadways Ltd.,506.7,543.4,36,33,93.0,75.6,99.1,1,Pending,1,-2.8,0,1,72
BR-1374,Bridges,Himalayan Infra Engineering,433.9,451.6,36,7,24.9,16.2,10.8,1,Pending,0,0.8,0,0,45
PW-1375,Power,Afcons Infrastructure,508.0,584.5,42,28,67.8,41.4,113.0,2,Pending,4,3.4,1,1,95
BR-1376,Bridges,Tata Projects Ltd.,423.0,423.0,24,9,31.3,28.6,30.9,0,Clear,0,-2.5,0,0,16
PW-1377,Power,Eastern Rail Infra Pvt. Ltd.,536.0,609.0,30,5,17.6,0.0,30.2,1,Disputed,3,3.5,1,1,90
RW-1378,Railways,NCC Infrastructure,845.3,962.5,24,14,60.9,31.2,110.9,1,Disputed,2,6.1,1,1,95
NH-1379,Roads,Ganga Construction Co.,1063.1,1137.8,18,4,21.4,9.0,26.7,2,Pending,1,10.3,0,1,70
BR-1380,Bridges,Afcons Infrastructure,1016.0,1031.0,30,16,51.1,46.4,16.5,0,Clear,1,3.1,0,0,35
RW-1381,Railways,Shivalik Infraprojects Ltd.,1280.4,1322.2,30,15,45.6,32.7,10.1,0,Disputed,0,4.1,0,1,55
BR-1382,Bridges,Omkar Roadways Ltd.,952.9,959.1,36,18,50.8,50.8,28.0,0,Clear,0,4.5,0,0,29
NH-1383,Roads,NCC Infrastructure,620.5,649.6,36,21,56.1,47.2,19.2,2,Pending,0,8.5,0,0,58
PW-1384,Power,Bharat Rail Consortium,549.7,577.5,36,24,68.4,63.4,20.6,0,Clear,1,7.3,0,0,40
NH-1385,Roads,Tata Projects Ltd.,515.5,566.4,36,21,62.0,42.7,80.5,2,Pending,0,15.1,1,1,95
PW-1386,Power,NCC Infrastructure,326.3,355.5,24,21,86.3,73.7,15.0,1,Clear,1,7.8,1,1,66
NH-1387,Roads,Afcons Infrastructure,1222.7,1370.2,42,17,39.2,28.9,61.0,0,Clear,3,-4.0,1,0,66
RW-1388,Railways,Larsen & Toubro Infra,2200.1,2230.2,24,17,74.4,71.1,30.0,2,Clear,0,7.3,0,0,42
RW-1389,Railways,Bharat Rail Consortium,933.9,1047.3,30,12,34.0,20.6,30.4,2,Pending,2,11.4,1,1,83
BR-1390,Bridges,Afcons Infrastructure,453.5,499.1,36,31,88.4,70.0,123.3,0,Pending,2,2.2,1,1,86
NH-1391,Roads,Himalayan Infra Engineering,660.2,705.6,36,33,92.1,82.8,16.0,2,Clear,0,12.9,0,1,61
RW-1392,Railways,Desert Sun Powergrid JV,553.5,588.2,36,10,30.0,13.7,63.4,0,Disputed,1,2.7,0,1,74
PW-1393,Power,Patel Engineering,871.0,950.8,24,20,83.7,72.2,62.3,1,Clear,2,6.2,1,1,64
BR-1394,Bridges,Larsen & Toubro Infra,355.1,367.8,42,38,92.3,80.1,104.2,1,Clear,0,6.4,0,1,60
PW-1395,Power,Apex Bullet Infra Ltd.,740.1,750.9,24,8,29.8,24.6,20.8,1,Pending,1,-0.6,0,0,36
NH-1396,Roads,Dilip Buildcon Ltd.,768.4,802.8,42,38,91.5,77.9,123.5,0,Clear,1,5.4,0,1,63
PW-1397,Power,Ganga Construction Co.,601.2,692.8,24,22,89.4,82.4,62.5,0,Clear,4,0.4,1,0,58
NH-1398,Roads,Bharat Rail Consortium,292.3,307.2,36,8,20.0,8.4,28.4,2,Pending,0,10.0,0,0,66
NH-1399,Roads,NCC Infrastructure,417.9,434.0,60,33,54.1,42.7,25.5,0,Disputed,1,-0.4,0,0,57
RW-1400,Railways,Omkar Roadways Ltd.,741.7,804.1,18,16,87.5,76.0,31.0,1,Pending,1,10.7,1,1,72
NH-1401,Roads,Vindhya Powergrid Ltd.,369.1,402.9,18,12,65.2,51.1,11.3,0,Disputed,3,-9.7,1,1,67
NH-1402,Roads,Vindhya Powergrid Ltd.,845.1,924.0,42,35,90.3,79.1,31.3,2,Pending,2,1.4,1,1,64
RW-1403,Railways,Eastern Rail Infra Pvt. Ltd.,448.3,522.9,30,12,39.8,15.3,97.3,0,Disputed,3,0.5,1,1,95
NH-1404,Roads,Apex Bullet Infra Ltd.,531.8,549.3,18,9,54.7,41.4,112.3,1,Clear,0,-4.1,0,1,59
RW-1405,Railways,Patel Engineering,1300.0,1437.5,24,15,59.5,50.5,20.3,1,Clear,2,7.3,1,0,60
RW-1406,Railways,Tata Projects Ltd.,1128.2,1232.6,42,19,44.3,25.3,129.2,0,Pending,0,1.0,1,1,78
RW-1407,Railways,Larsen & Toubro Infra,897.4,983.5,30,17,59.6,56.9,16.0,0,Clear,3,-1.9,1,0,39
NH-1408,Roads,Desert Sun Powergrid JV,995.7,1058.4,48,34,68.5,62.9,11.9,1,Pending,0,8.4,0,0,51
PW-1409,Power,Patel Engineering,1455.4,1661.7,42,20,39.6,23.8,60.8,2,Clear,2,12.7,1,1,90
BR-1410,Bridges,Dilip Buildcon Ltd.,1101.7,1101.7,36,17,47.0,47.0,10.4,0,Clear,1,-6.9,0,0,16
PW-1411,Power,Eastern Rail Infra Pvt. Ltd.,460.2,502.3,18,10,49.4,38.9,24.3,1,Pending,2,10.3,1,0,61
RW-1412,Railways,Vindhya Powergrid Ltd.,963.0,976.4,18,17,95.0,90.6,28.9,1,Clear,0,9.1,0,0,41
PW-1413,Power,Desert Sun Powergrid JV,371.4,408.6,18,6,36.6,15.7,88.7,1,Disputed,1,5.3,1,1,90
BR-1414,Bridges,NCC Infrastructure,705.3,794.8,36,8,26.3,13.9,52.3,1,Clear,2,5.5,1,1,70
NH-1415,Roads,Himalayan Infra Engineering,831.6,940.8,24,22,93.5,77.2,29.4,0,Disputed,2,-1.5,1,1,74
